id,Nombre,Origen,Mitologia,Tipo,Descripcion,Poderes,Lore
1,Zeus,Mediterráneo,Griega,Dios,Rey del Olimpo y dios del cielo y el trueno,Control del rayo y el trueno; control del clima; metamorfosis; inmortalidad,"Zeus nació hijo de los titanes Cronos y Rea. Cronos, temiendo ser destronado por su descendencia, devoraba a cada hijo al nacer. Rea lo engañó envolviéndole una piedra en pañales y escondió al bebé Zeus en Creta. Criado en secreto, Zeus creció y obligó a Cronos a regurgitar a sus hermanos. Juntos derrocaron a los titanes en la Titanomaquia y Zeus se convirtió en rey del Olimpo, señor del rayo y del orden universal."
2,Hera,Mediterráneo,Griega,Diosa,Reina del Olimpo y diosa del matrimonio,Inmortalidad; magia divina; control sobre el matrimonio y la familia,"Hera, hermana y esposa de Zeus, es la reina indiscutible del Olimpo. Su matrimonio con Zeus fue famoso por las constantes infidelidades del dios, ante las cuales Hera reaccionaba con furia y venganza hacia las amantes y los hijos ilegítimos. Persiguió a Heracles toda su vida, envió serpientes a matarlo de bebé y provocó su locura. Pese a todo, defendía con fiereza su dignidad como reina y protectora del matrimonio sagrado."
3,Poseidón,Mediterráneo,Griega,Dios,Dios del mar y los terremotos,Control del mar; provocar terremotos; dominar a los caballos; inmortalidad,"Cuando los tres hermanos olímpicos dividieron el mundo, Poseidón recibió el dominio sobre los mares. Gobernó desde su palacio submarino con su esposa Anfítrite, creando olas e islas con su tridente. Disputó con Atenea la tutela de Atenas: él golpeó la roca del Acrópolis haciendo brotar agua salada, pero la ciudad eligió el olivo que ofreció Atenea. Furioso, Poseidón inundó la llanura del Ática como castigo."
4,Atenea,Mediterráneo,Griega,Diosa,Diosa de la sabiduría y la guerra estratégica,Sabiduría suprema; estrategia militar; artesanía; inmortalidad,"Atenea brotó directamente de la cabeza de Zeus, ya adulta y armada con casco y lanza. Diosa de la sabiduría y de la guerra estratégica, se enfrentó a Ares en numerosas ocasiones, siempre venciéndolo con inteligencia. Protegió a Odiseo durante su largo viaje de regreso a Ítaca, tejió la ropa de los dioses y enseñó a los humanos la artesanía. Su ciudad favorita, Atenas, le rindió culto eterno en el Partenón."
5,Apolo,Mediterráneo,Griega,Dios,Dios del sol la música y la profecía,Profecía; música divina; curación; control solar; arco perfecto,"Apolo y su gemela Artemisa nacieron en la isla de Delos porque Hera perseguía a su madre Leto impidiéndole dar a luz en tierra firme. Apolo se convirtió en el dios más completo del panteón: sol, música, profecía, medicina y poesía. Fundó el célebre Oráculo de Delfos, donde su sacerdotisa la Pitia transmitía sus revelaciones. Mató a la serpiente Pitón y enamoró a incontables mortales e inmortales."
6,Artemisa,Mediterráneo,Griega,Diosa,Diosa de la caza y la luna,Caza perfecta; control lunar; protección de animales; inmortalidad,"Artemisa, gemela de Apolo, dedicó su vida a la caza y juró virginidad eterna. Cazadora implacable, recorría los bosques con su banda de ninfas y estableció leyes estrictas de castidad en su séquito. Cuando el cazador Acteón la vio bañarse desnuda, lo transformó en ciervo y sus propios perros lo despedazaron. Protegía a las mujeres en el parto y guardaba los bosques sagrados con celoso rigor."
7,Ares,Mediterráneo,Griega,Dios,Dios de la guerra y la violencia,Fuerza colosal; invulnerabilidad en batalla; inmortalidad,"Ares, el dios de la guerra en su aspecto más brutal y sanguinario, era temido incluso por los otros dioses. Su padre Zeus lo despreciaba abiertamente, describiéndolo como el más odioso de todos los olímpicos. Tuvo un escandaloso affair con Afrodita, sorprendidos por Hefesto en una red invisible. Luchó en la Guerra de Troya apoyando a los troyanos y fue herido por Diomedes con la ayuda de Atenea, huyendo al Olimpo entre alaridos."
8,Afrodita,Mediterráneo,Griega,Diosa,Diosa del amor y la belleza,Atracción irresistible; control de emociones amorosas; belleza sobrenatural,"Afrodita nació de la espuma del mar cuando la sangre de Urano cayó al océano al ser castrado por Cronos. Emergió perfecta de las olas y causó tanto trastorno entre los dioses con su belleza que Zeus la casó con el feo Hefesto para evitar rivalidades. Sin embargo, amó apasionadamente a Ares y al mortal Adonis. Su poder sobre el deseo era absoluto y ni dioses ni humanos podían resistirse a sus flechas de amor."
9,Hefesto,Mediterráneo,Griega,Dios,Dios del fuego y la forja,Maestría en forja divina; control del fuego; creación de objetos mágicos,"Hefesto, el único dios feo del Olimpo, fue arrojado del cielo por su propia madre Hera al nacer, pues su deformidad la avergonzaba. Cayó en el mar y fue criado por la ninfa Tetis. En su fragua divina bajo los volcanes creó objetos maravillosos: el rayo de Zeus, la armadura de Aquiles, la cadena invisible que atrapó a Ares y Afrodita, el palacio del Olimpo y al primer ser humano femenino, Pandora."
10,Hermes,Mediterráneo,Griega,Dios,Mensajero de los dioses y dios del comercio,Velocidad extrema; vuelo; guiar almas al inframundo; engaño y astucia,"Hermes fue el más versátil de los dioses olímpicos. De bebé ya demostró su astucia: robó el ganado de Apolo el mismo día que nació, luego inventó la lira con un caparazón de tortuga y se la ofreció a Apolo como compensación. Se convirtió en mensajero de los dioses, guía de almas al inframundo, protector de viajeros, comerciantes y ladrones. Sus sandalias aladas lo llevaban a cualquier rincón del cosmos en instantes."
